Total Population,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Fossil Fuel Consumption (%),Male life expectancy,"School enrollment, primary","School enrollment, tertiary",Primary completion rate,Literacy rate,Year
48177.0,3.4,12.0,20.153996565656563,8.449662337662337,4200288282.10157,1.5210220345151224,-697776713.3454739,9824571.52055557,2620.2462159809083,63.45225495047148,70.19851982378856,99.33984375,19.3515396118164,98.0215835571289,97.10596383516906,2006
46727.0,3.8,12.0,20.153996565656563,8.449662337662337,500062219316.26825,1.5210220345151224,-697776713.3454739,9465944329.77169,2620.2462159809083,63.45225495047148,70.19851982378856,95.4625778198242,39.5289465704209,97.8609619140625,97.10596383516906,2005
45286.0,4.6,12.0,20.153996565656563,8.449662337662337,500062219316.26825,1.5210220345151224,-697776713.3454739,9465944329.77169,2620.2462159809083,63.45225495047148,70.19851982378856,99.5556869506836,39.5289465704209,96.6490325927734,97.10596383516906,2004
43862.0,3.5,12.0,20.153996565656563,8.449662337662337,500062219316.26825,1.5210220345151224,-697776713.3454739,9465944329.77169,2620.2462159809083,63.45225495047148,70.19851982378856,106.1287104573522,19.7879905700684,95.5224081760743,97.10596383516906,2003
42456.0,2.8,12.0,20.153996565656563,8.449662337662337,500062219316.26825,1.5210220345151224,-697776713.3454739,9465944329.77169,2620.2462159809083,63.45225495047148,70.19851982378856,107.219886779785,19.2410907745361,105.380332946777,97.10596383516906,2002
41054.0,3.2,12.0,20.153996565656563,8.449662337662337,500062219316.26825,1.5210220345151224,-697776713.3454739,9465944329.77169,2620.2462159809083,63.45225495047148,70.19851982378856,108.33332824707,21.6446495056152,105.335968017578,97.10596383516906,2001
39658.0,3.4,12.0,20.153996565656563,8.449662337662337,500062219316.26825,1.5210220345151224,-697776713.3454739,9465944329.77169,2620.2462159809083,63.45225495047148,70.19851982378856,108.018867492676,20.8984394073486,101.886787414551,97.10596383516906,2000
38295.0,3.3,12.0,20.153996565656563,8.449662337662337,500062219316.26825,1.5210220345151224,-697776713.3454739,9465944329.77169,2620.2462159809083,63.45225495047148,70.19851982378856,106.178108215332,15.6590700149536,99.7742691040039,97.10596383516906,1999
36947.0,3.1,12.0,20.153996565656563,8.449662337662337,500062219316.26825,1.5210220345151224,-697776713.3454739,9465944329.77169,2620.2462159809083,63.45225495047148,70.19851982378856,106.1287104573522,39.5289465704209,95.5224081760743,97.10596383516906,1998
35579.0,3.4,10.87992125984252,20.153996565656563,8.449662337662337,500062219316.26825,1.5210220345151224,-697776713.3454739,9465944329.77169,2620.2462159809083,63.45225495047148,70.19851982378856,106.1287104573522,39.5289465704209,95.5224081760743,97.10596383516906,1997
34194.0,3.6,10.87992125984252,20.153996565656563,8.449662337662337,500062219316.26825,1.5210220345151224,-697776713.3454739,9465944329.77169,2620.2462159809083,63.45225495047148,70.19851982378856,106.1287104573522,39.5289465704209,95.5224081760743,97.10596383516906,1996
32802.0,3.4,10.87992125984252,20.153996565656563,8.449662337662337,500062219316.26825,1.5210220345151224,-697776713.3454739,9465944329.77169,2620.2462159809083,63.45225495047148,70.19851982378856,106.1287104573522,39.5289465704209,95.5224081760743,97.10596383516906,1995
19603733.0,6.828164939550949,12.0,20.153996565656563,7.784,301025249437.947,1.5210220345151224,-16571854313.0416,10669495878.7394,2620.2462159809083,63.45225495047148,70.19851982378856,106.1287104573522,39.5289465704209,95.5224081760743,99.120002746582,2022
19493184.0,7.426,12.0,23.0002,9.35,316713577508.673,1.5210220345151224,-18469263253.9538,11545315867.9711,2620.2462159809083,63.45225495047148,76.472,99.3652267456055,96.2227935791016,99.2180786132812,97.10596383516906,2021
19300315.0,7.221,12.0,21.86855,11.14,254096103516.324,-4.6887262874787,-15845090525.0054,10270537940.005,2620.2462159809083,63.45225495047148,76.745,99.7043991088867,89.1124877929688,97.9685821533203,97.10596383516906,2020
19039485.0,6.346,12.0,22.22464,7.27,278493308134.096,-0.429734080132675,-10432736884.4398,11093279867.8226,2620.2462159809083,63.45225495047148,77.894,101.193206787109,92.0659713745117,97.4453201293945,97.10596383516906,2019
18701450.0,6.327,12.0,22.30843,7.21,295402646018.151,-0.620718849031078,-12107785030.4188,11601749641.9751,2620.2462159809083,63.45225495047148,77.684,101.538017272949,91.1974792480469,98.1518325805664,97.10596383516906,2018
18368577.0,6.139,12.0,22.71872,6.95,276364936832.331,-0.687555419950058,-10743439283.712,11831104496.2065,2620.2462159809083,63.45225495047148,78.015,101.396278381348,89.921989440918,98.1549530029297,99.0100021362305,2017
18083879.0,6.107,12.0,23.21119,6.73,249298706449.182,-1.46126355043693,-6935554010.70161,10468275485.2698,2620.2462159809083,63.45225495047148,77.496,101.585189819336,88.8458862304688,98.3978424072266,97.10596383516906,2016
17870124.0,6.121,12.0,23.71321,6.49,242496655711.515,3.27814328853005,-5952333054.7281,8995181314.57985,2620.2462159809083,74.6472122625678,77.035,101.712509155273,86.4181137084961,97.77294921875,99.3499984741211,2015
17687108.0,6.12,12.0,23.82938,6.65,259405194672.935,2.59346184019181,-11509954441.6444,10237738928.2398,3895.43615609742,73.2505438289352,76.736,101.930870056152,83.6629791259766,98.1664199829102,97.10596383516906,2014
17509925.0,6.037,12.0,24.2276,6.2,277239473853.807,2.14971427573624,-12344177291.0407,9629567484.03585,3893.50611153389,68.6498020919416,76.579,102.084899902344,79.8703384399414,96.9979019165039,99.0599975585938,2013
17341771.0,6.074,12.0,23.80023,6.64,267175870677.659,6.5992765831012,-14632200402.3288,8749832198.58778,3820.37105668158,70.0394421491718,76.379,103.369781494141,75.0770721435547,97.4051208496094,97.10596383516906,2012
17173573.0,5.805,12.0,23.34036,7.32,251224856981.294,6.65375431693207,-21878165263.7401,9109873648.1157,3596.10664594956,76.6791171838768,76.451,103.170486450195,70.8241806030273,95.0724105834961,99.4100036621094,2011
17004162.0,5.962,12.0,22.93769,8.41,217105434199.5,8.36507507528862,-14059109794.4632,7551544952.77633,3318.30524785638,77.6066722281967,75.734,103.219367980957,66.3445205688477,95.5224081760743,97.10596383516906,2010
16833447.0,5.612,12.0,22.92223,11.31,171412643623.963,4.05327840395069,-11740711222.1201,6337343053.21639,3306.86875955947,73.4740266778671,75.941,105.763893127441,59.9912910461426,95.5224081760743,99.3600006103516,2009
16661462.0,5.557,12.0,23.15624,9.29,179663390874.653,2.88606055993361,-14136118648.0058,6152451118.91064,3347.66540895391,75.1842669453794,75.674,106.873870849609,56.7743988037109,95.5224081760743,97.10596383516906,2008
16495538.0,5.754,12.0,23.19288,8.43,172565861848.899,7.24523283113766,-16938241590.9225,6127073599.94385,3346.48072709117,76.0264465018648,75.043,106.517280578613,54.7230491638184,95.5224081760743,97.10596383516906,2007
16334575.0,5.352,12.0,23.22504,9.02,153840051814.059,2.28949206053886,-16436424384.1403,5710612172.3634,3226.34656855168,74.0091485100545,75.512,105.66822052002,49.3216896057129,95.5224081760743,99.120002746582,2006
16175311.0,5.301,12.0,23.21911,9.34,122314960843.922,7.89068501497532,-9659018418.0039,4797451996.05193,3097.06564529115,74.2447072338637,74.912,105.35050201416,50.2735595703125,95.5224081760743,97.10596383516906,2005
16017966.0,5.293,12.0,23.29994,10.16,99079365628.3333,6.51547157701049,-7301322353.83868,3723665938.43609,3063.87215455445,75.1835361760022,74.479,105.627876281738,44.3284606933594,95.5224081760743,97.10596383516906,2004
15859112.0,5.247,12.0,23.39477,9.77,76507853875.6649,1.64954678740827,-3877220658.15974,3132824726.731,2896.06378970021,74.5634411648975,74.306,101.061790466309,43.5181999206543,95.5224081760743,99.1100006103516,2003
15693790.0,5.035,8.0,23.85739,10.17,70295232513.0515,1.77253367557371,-2703794754.4767,2857524573.08606,2726.23757549961,73.200718363679,74.252,101.286972045898,40.2664985656738,95.5224081760743,98.9909820556641,2002
15523978.0,5.157,8.0,23.92415,10.39,71517267767.736,2.48644159083398,-2348171040.75724,2905331978.17111,2627.35492152849,73.1069712499615,73.6,106.1287104573522,39.5289465704209,95.5224081760743,97.10596383516906,2001
15351799.0,4.959,8.0,23.39356,10.49,78249883995.6255,2.74728750135421,-2736318632.78281,3977412205.41623,2497.75286922399,74.511496953145,73.714,101.363563537598,35.4313201904297,95.5224081760743,99.0999984741211,2000
15176410.0,5.246,8.0,23.4228,11.16,75596598517.3586,-2.30731542346697,-2146855529.86576,4002116673.78614,2390.81574627992,77.164219596618,72.93,105.060707092285,35.5736618041992,95.5224081760743,97.10596383516906,1999
14996742.0,5.258,8.0,25.521,7.31,81995749804.4157,5.07053111690692,-1835606560.68218,4423040865.32873,2174.20557078331,75.5271603580318,72.611,104.106552124023,32.1894683837891,95.5224081760743,97.10596383516906,1998
14809289.0,5.138,10.87992125984252,27.29544,7.14,85728899954.449,6.30862220713786,-2611680222.26992,4292060427.84575,2066.13565310259,74.6555642987889,72.335,79.1882171630859,30.228759765625,95.5224081760743,97.10596383516906,1997
14615483.0,5.337,10.87992125984252,26.59104,7.41,78575020639.4728,4.81561478103427,-2505727684.3467,3944119347.91397,1922.82389846439,72.3916588764254,71.641,101.50350189209,29.2319793701172,95.5224081760743,97.10596383516906,1996
14416796.0,5.352,10.87992125984252,26.06005,4.7,73446446283.0164,12.6566129613152,-2788478728.40917,5143479719.90726,1741.02484352279,70.0078144077878,71.429,106.1287104573522,27.3324699401855,95.5224081760743,97.10596383516906,1995
51874024.0,6.828164939550949,12.0,20.153996565656563,10.726,343939445259.487,1.5210220345151224,-13495706163.8106,28510549865.4764,2620.2462159809083,63.45225495047148,70.19851982378856,106.1287104573522,39.5289465704209,95.5224081760743,97.10596383516906,2022
51516562.0,7.735,12.0,20.14733,13.9,318511813576.972,1.5210220345151224,-5558131113.68938,24319461003.8118,2620.2462159809083,63.45225495047148,69.404,106.488357543945,58.3159217834473,99.1944732666016,99.0500030517578,2021
50930662.0,6.606,12.0,20.06682,15.04,270150956772.567,-8.08058814422878,-2834881680.24277,20169898854.4723,2620.2462159809083,63.45225495047148,71.537,107.083686828613,55.7331085205078,99.6276016235352,99.0,2020
50187406.0,5.411,12.0,20.12389,9.96,323031701210.767,1.62648954903936,-7050171724.08969,20708660530.1559,2620.2462159809083,63.45225495047148,73.8,109.355506896973,56.6663017272949,103.543678283691,98.8300018310547,2019
49276961.0,5.311,12.0,19.99092,9.11,334198218100.716,0.307966972687623,-8273494317.55797,20806210846.7679,2620.2462159809083,63.45225495047148,73.842,111.699180603027,57.3205413818359,105.578002929688,98.8499984741211,2018
48351671.0,5.249,12.0,19.41631,8.87,311866875135.576,-0.560071272114811,-5339342668.33126,19927244053.4236,2620.2462159809083,63.45225495047148,73.759,113.305381774902,58.3960418701172,106.373252868652,98.6699981689453,2017
47625955.0,5.213,12.0,19.41331,8.69,282720100286.228,1.65090164700939,-3126743921.53846,18677655383.9205,2620.2462159809083,63.45225495047148,73.519,115.443153381348,57.1437492370605,103.139930725098,98.6699981689453,2016
47119728.0,5.168,12.0,19.82478,8.3,293492370228.847,2.98217610381354,-3824885156.79281,17552090520.2152,2620.2462159809083,63.45225495047148,73.252,115.497077941895,54.7961311340332,102.409233093262,98.5299987792969,2015
46677947.0,5.106,10.0,19.78462,8.57,381240864422.407,4.45332111040102,-10833014759.3455,20766026770.2095,1320.34513000325,76.685692626894,72.985,116.080101013184,53.1794395446777,102.689872741699,98.5299987792969,2014
46237930.0,5.041,10.0,19.63695,9.05,382093697077.685,5.24073142216639,-13212620291.6697,20605223942.4901,1317.96557501601,76.7621271757288,72.725,119.084732055664,50.7474899291992,103.585823059082,98.2699966430664,2013
